dataset,query_dist,num_queries,prop_train,size,fpr,insert_time,amortized_query
url,zipf,10000000,0.25000000000000,94696,0.00001573565426,42701,0.33489130000000
url,zipf,10000000,0.25000000000000,94696,0.00004779699622,42727,0.39869080000000
url,onepass,162798,0.25000000000000,103208,0.00081293216221,46846,0.45983365889016
url,onepass,162798,0.25000000000000,103208,0.00059814761162,46572,0.45886927357830
url,onepass,162798,0.25000000000000,103208,0.00067286575394,46542,0.45915183233209
url,unif,10000000,0.25000000000000,103208,0.00052190869727,53472,0.45932090000000
url,unif,10000000,0.25000000000000,103208,0.00064820280911,52640,0.45942170000000
url,unif,10000000,0.25000000000000,103208,0.00055910198591,52720,0.45939360000000
url,zipf,10000000,0.25000000000000,103208,0.00003939736000,45923,0.37224380000000
url,zipf,10000000,0.25000000000000,103208,0.00001147642830,45806,0.41525950000000
url,zipf,10000000,0.25000000000000,103208,0.00000899186307,45784,0.37525170000000
url,onepass,162798,0.25000000000000,111720,0.00028981713474,49944,0.47816926497869
url,onepass,162798,0.25000000000000,111720,0.00036458138578,49669,0.47850710696692
url,onepass,162798,0.25000000000000,111720,0.00038327070129,49648,0.47830440177398
url,unif,10000000,0.25000000000000,111720,0.00039376041654,56460,0.47909310000000
url,unif,10000000,0.25000000000000,111720,0.00033058519200,55766,0.47893490000000
url,unif,10000000,0.25000000000000,111720,0.00028957776796,55738,0.47856140000000
url,zipf,10000000,0.25000000000000,111720,0.00000402269558,48919,0.40942640000000
url,zipf,10000000,0.25000000000000,111720,0.00001656383287,48847,0.34796790000000
url,zipf,10000000,0.25000000000000,111720,0.00000343112473,48844,0.35164120000000
url,onepass,162798,0.25000000000000,120232,0.00022438924054,52918,0.49686114080026
url,onepass,162798,0.25000000000000,120232,0.00020569398345,52626,0.49713755697244
url,onepass,162798,0.25000000000000,120232,0.00028047081701,52582,0.49664000786250
url,unif,10000000,0.25000000000000,120232,0.00009391085368,59495,0.49801860000000
url,unif,10000000,0.25000000000000,120232,0.00019631132241,58824,0.49788130000000
url,unif,10000000,0.25000000000000,120232,0.00020390696069,58757,0.49794400000000
url,zipf,10000000,0.25000000000000,120232,0.00000165640798,51988,0.39252130000000
url,zipf,10000000,0.25000000000000,120232,0.00000508752134,51835,0.36150580000000
url,zipf,10000000,0.25000000000000,120232,0.00000875523717,51845,0.49304630000000
shalla,onepass,3905928,0.25000000000000,4280640,0.00429712166060,2121966,0.59424111248338
shalla,onepass,3905928,0.25000000000000,4280640,0.00427079700190,2121894,0.59477030810604
shalla,onepass,3905928,0.25000000000000,4280640,0.00427889704514,2140487,0.60024864769653
shalla,unif,10000000,0.25000000000000,4280640,0.00440717992479,2139402,0.59563350000000
shalla,unif,10000000,0.25000000000000,4280640,0.00427320571010,2135994,0.59567850000000
shalla,unif,10000000,0.25000000000000,4280640,0.00433841890233,2123550,0.59042200000000
shalla,zipf,10000000,0.25000000000000,4280640,0.00053254859805,2100663,0.43835340000000
shalla,zipf,10000000,0.25000000000000,4280640,0.00033024978047,2104841,0.40743560000000
shalla,zipf,10000000,0.25000000000000,4280640,0.00155645025166,2122288,0.47543690000000
shalla,onepass,3905928,0.25000000000000,4807488,0.00255670329917,2280263,0.63424338595079
shalla,onepass,3905928,0.25000000000000,4807488,0.00248456189605,2276599,0.63412664032722
shalla,onepass,3905928,0.25000000000000,4807488,0.00259632582718,2296324,0.63944394264308
shalla,unif,10000000,0.25000000000000,4807488,0.00254491273932,2349088,0.64955090000000
shalla,unif,10000000,0.25000000000000,4807488,0.00252349422432,2340326,0.64961300000000
shalla,unif,10000000,0.25000000000000,4807488,0.00245764636219,2320109,0.64198570000000
shalla,zipf,10000000,0.25000000000000,4807488,0.00012039800139,2280345,0.42503070000000
shalla,zipf,10000000,0.25000000000000,4807488,0.00002411011810,2285152,0.42256850000000
shalla,zipf,10000000,0.25000000000000,4807488,0.00001325365910,2325518,0.45684890000000
shalla,onepass,3905928,0.25000000000000,5334336,0.00159361981105,2580969,0.69539172253047
shalla,onepass,3905928,0.25000000000000,5334336,0.00164146190024,2627042,0.70436961459607
shalla,onepass,3905928,0.25000000000000,5334336,0.00161601455127,2546243,0.70572166204805
shalla,unif,10000000,0.25000000000000,5334336,0.00158374462665,2526501,0.69942750000000
shalla,unif,10000000,0.25000000000000,5334336,0.00160917728572,2512321,0.69423230000000
shalla,unif,10000000,0.25000000000000,5334336,0.00164056893753,2487898,0.68363700000000
shalla,zipf,10000000,0.25000000000000,5334336,0.00002594300350,2470065,0.40982010000000
shalla,zipf,10000000,0.25000000000000,5334336,0.00000972878406,2464480,0.41240940000000
shalla,zipf,10000000,0.25000000000000,5334336,0.00002100829673,2563781,0.41269550000000
shalla,onepass,3905928,0.25000000000000,5861184,0.00118626744976,2634301,0.73046123738072
