dataset,filter,bytes,num_queries,freq,fpr
ember,plbf,1472416.0,10000000,0.08,0.133428867765046
ember,plbf,1472416.0,10000000,0.1,0.1539422671127281
url,adabf,438624.0,10000000,0.02,0.0292593604387071
url,adabf,438624.0,10000000,0.04,0.0584138483662221
url,adabf,438624.0,10000000,0.06,0.0842948466945511
url,adabf,438624.0,10000000,0.08,0.1082989215780898
url,adabf,438624.0,10000000,0.1,0.1262691936308385
ember,adabf,1472416.0,10000000,0.02,0.0379770705902674
ember,adabf,1472416.0,10000000,0.04,0.0742769334975872
ember,adabf,1472416.0,10000000,0.06,0.1054367849120966
ember,adabf,1472416.0,10000000,0.08,0.1334825006892766
ember,adabf,1472416.0,10000000,0.1,0.1539917112712316
url,adabf,472302.0,10000000,0.02,0.0292593604387071
url,adabf,472302.0,10000000,0.04,0.0584138483662221
url,adabf,472302.0,10000000,0.06,0.0842948466945511
url,adabf,472302.0,10000000,0.08,0.1082989215780898
url,adabf,472302.0,10000000,0.1,0.1262691936308385
ember,plbf,1604768.0,10000000,0.02,0.037770394464464
ember,plbf,1604768.0,10000000,0.04,0.074094643758765
ember,plbf,1604768.0,10000000,0.06,0.1052711066766498
ember,plbf,1604768.0,10000000,0.08,0.1333311473102318
ember,plbf,1604768.0,10000000,0.1,0.1538529927592475
ember,adabf,1604768.0,10000000,0.02,0.0378449823053112
ember,adabf,1604768.0,10000000,0.04,0.0741604606086584
ember,adabf,1604768.0,10000000,0.06,0.1053309085350229
ember,adabf,1604768.0,10000000,0.08,0.1333856239842629
ember,adabf,1604768.0,10000000,0.1,0.1539033583039369
ember,plbf,1737120.0,10000000,0.02,0.0377382691309439
ember,plbf,1737120.0,10000000,0.04,0.0740658459442916
ember,plbf,1737120.0,10000000,0.06,0.1052451950769543
ember,plbf,1737120.0,10000000,0.08,0.1333085506496897
ember,plbf,1737120.0,10000000,0.1,0.1538312569382585
ember,adabf,1737120.0,10000000,0.02,0.0378246578112139
ember,adabf,1737120.0,10000000,0.04,0.0741433491278481
ember,adabf,1737120.0,10000000,0.06,0.1053147914407477
ember,adabf,1737120.0,10000000,0.08,0.1333712084315598
ember,adabf,1737120.0,10000000,0.1,0.1538896938263857
ember,plbf,1869472.0,10000000,0.02,0.0377317349022886
ember,plbf,1869472.0,10000000,0.04,0.0740600861664326
ember,plbf,1869472.0,10000000,0.06,0.1052400728388898
ember,plbf,1869472.0,10000000,0.08,0.1333041143571012
ember,plbf,1869472.0,10000000,0.1,0.1538265712257472
ember,adabf,1869472.0,10000000,0.02,0.0377901767947589
